filename,steps,final_energy (eV)
08_AA_CG_steps.extxyz,6,-596.5827084068748
06_AA_CG_steps.extxyz,4,-447.92527317508006
03_AB_CG_steps.extxyz,10,-150.55702841736533
13_AA_CG_steps.extxyz,4,-1042.5422367402282
18_AA_CG_steps.extxyz,4,-1600.0004668089027
04_AA_CG_steps.extxyz,4,-262.1031232062619
19_AB_CG_steps.extxyz,83,-1786.6386771568002
02_AA_CG_steps.extxyz,2,-113.43974122851513
07_AA_CG_steps.extxyz,5,-485.0929511859326
11_AB_CG_steps.extxyz,25,-931.0500152344529
10_AA_CG_steps.extxyz,6,-782.4001886759437
14_AB_CG_steps.extxyz,27,-1154.0649346512769
16_AA_CG_steps.extxyz,33,-1377.020332308244
12_AB_CG_steps.extxyz,25,-1005.3858283427821
19_AA_CG_steps.extxyz,4,-1785.8099634863056
15_AA_CG_steps.extxyz,4,-1339.8549597605288
17_AA_CG_steps.extxyz,4,-1451.3460290705061
09_AA_CG_steps.extxyz,20,-708.073991984876
20_AB_CG_steps.extxyz,27,-1823.090689659378
14_AA_CG_steps.extxyz,4,-1154.0367386952896
04_AB_CG_steps.extxyz,31,-262.0454738821019
08_AB_CG_steps.extxyz,21,-596.5292945982316
18_AB_CG_steps.extxyz,90,-1600.5293224245177
16_AB_CG_steps.extxyz,28,-1377.0771874898835
02_AB_CG_steps.extxyz,18,-113.39246249280838
11_AA_CG_steps.extxyz,7,-931.056239027623
06_AB_CG_steps.extxyz,21,-447.86618350420974
13_AB_CG_steps.extxyz,23,-1042.5554186049899
20_AA_CG_steps.extxyz,4,-1822.9823632290238
05_AA_CG_steps.extxyz,3,-336.43690192481637
12_AA_CG_steps.extxyz,4,-1005.377195880062
10_AB_CG_steps.extxyz,24,-782.3732190134018
05_AB_CG_steps.extxyz,25,-336.37508678841203
03_AA_CG_steps.extxyz,2,-150.6081251852256
07_AB_CG_steps.extxyz,23,-485.0344874474987
17_AB_CG_steps.extxyz,31,-1451.4147724032548
15_AB_CG_steps.extxyz,20,-1339.902755440192
09_AB_CG_steps.extxyz,21,-708.0379751164626
